Reason,Category,Transaction_ID,Date,Time
Septic Tank Cleaning,Daily & Household Expenses,9VRD92U1L9,22-06-2024,20:22:17
Home Appliance Repair,Daily & Household Expenses,21KLODRJIO,05-12-2024,10:54:37
Electric Vehicle Charging,Other,M8VN4IOKSX,01-12-2024,01:21:38
Long-Term Parking Rental,Daily & Household Expenses,MV86OI4C3V,30-11-2024,19:07:47
RV/Campervan Rental,Daily & Household Expenses,5109QEQXG8,10-03-2024,17:19:36
Travel SIM Card Purchase,Transportation & Travel,NWA4CRS5BL,07-12-2024,11:24:35
Airport Lounge Access,Other,C4DUFONDYV,20-07-2024,14:13:00
Cruise Ticket,Other,N7IY371I25,05-05-2024,18:31:02
Arcade Game Tokens,Entertainment & Leisure,SGEGQ0UAP5,15-04-2024,13:56:55
Ski Resort Pass,Other,JUON4L874T,21-10-2024,17:01:37
Escape Room Game,Entertainment & Leisure,DAK1FORFOO,02-01-2025,22:08:14
Dance Class Fees,Education & Learning,A1SC99CD7C,24-12-2024,12:39:55
Photography Workshop,Entertainment & Leisure,ELJQ92S8K9,07-04-2024,05:08:59
Guided City Tour,Entertainment & Leisure,1KVNCHKHD6,25-09-2024,05:19:04
Resume/CV Review Service,Other,MUYL80IOG0,17-01-2025,04:40:57
Public Speaking Training,Transportation & Travel,QZ97K3J0GQ,29-03-2024,16:22:52
Online Freelance Marketplace Fee,Other,DY71IP5VTS,18-07-2024,01:51:00
Software Development Services,Other,YJRNPZLRTS,08-12-2024,07:41:30
Business Conference Ticket,Transportation & Travel,V3ZEKP9XUQ,26-06-2024,08:30:46
Coding Bootcamp Tuition,Education & Learning,9C5M4SQLCW,28-02-2024,22:54:16
Music Lessons,Education & Learning,TAD686TUKO,20-06-2024,05:32:59
Art Classes,Education & Learning,S19SSWPUHY,05-09-2024,14:37:04
Scientific Journal Subscription,Education & Learning,UBQIMZS8X1,16-12-2024,14:21:40
Education Loan Repayment,Financial & Legal Transactions,XKFE340O9Q,28-03-2024,08:34:57
NFT Purchase,Financial & Legal Transactions,7ZSO06H2ID,30-12-2024,11:15:56
Crypto Staking Fee,Financial & Legal Transactions,KL9RJ34Q99,12-03-2024,00:19:10
Hedge Fund Investment,Financial & Legal Transactions,YYLDKEQI8S,15-04-2024,19:27:42
ATM Withdrawal Fee,Financial & Legal Transactions,4DQYD1I1L2,22-07-2024,07:57:32
Foreign Currency Exchange Fee,Financial & Legal Transactions,IXW2AGZ97A,20-12-2024,09:57:16
Chimney Cleaning,Daily & Household Expenses,NE2O0ITE6U,16-12-2024,07:46:43
Roof Waterproofing,Daily & Household Expenses,IDN4SEASFQ,14-04-2024,01:58:47
Fence Repair,Daily & Household Expenses,AWZZJWJF2L,05-11-2024,05:08:02
Emergency Plumbing Service,Daily & Household Expenses,0DQC74EOKP,29-09-2024,02:10:22
Structural Inspection,Daily & Household Expenses,Z7DBSTTDZM,11-05-2024,20:04:15
Orthopedic Consultation,Health & Wellness,BUTZDR1B8B,25-04-2024,13:46:19
Speech Therapy,Health & Wellness,2YIJSASDSK,08-02-2025,11:46:27
Maternity & Baby Care,Health & Wellness,M6QVPNOJ1U,30-03-2024,16:18:19
Sports Physiotherapy,Health & Wellness,GCQRCX15HG,03-08-2024,14:38:51
Eye Laser Surgery,Health & Wellness,0GZWR6Q6DM,02-08-2024,02:56:03
Personalized Jewelry,Other,CP7DF5EOZJ,13-12-2024,11:51:58
Luxury Handbag Purchase,Other,YQVAFWWDLF,27-04-2024,09:18:45
Tailored Suit Purchase,Other,BK2I7D1K48,25-06-2024,00:34:48
Beard Grooming Service,Other,TH9AAR06R4,11-11-2024,05:52:05
Cosmetic Surgery,Health & Wellness,KSTWHRTEF4,28-09-2024,18:40:47
Pet Travel Fee,Transportation & Travel,63NU6HIYE4,03-01-2025,22:09:08
Pet Breeding Service,Other,8B3UCF8C5D,12-10-2024,19:55:37
Aquarium Maintenance,Other,24DKBJJDXZ,10-09-2024,22:48:22
Pet Toy Purchase,Other,RQY0HRB5SG,27-04-2024,21:12:32
Pet DNA Testing,Health & Wellness,ZTXXSLQL3C,01-10-2024,03:44:02
Lost Passport Replacement,Other,YUKHQ6HHHI,02-05-2024,11:10:13
Political Campaign Donation,Other,37IG9P8FRD,04-11-2024,00:53:37
Auction House Purchase,Other,NAKNB01NCC,02-12-2024,03:18:05
Online Gambling Deposit,Other,BLH8E876QX,12-06-2024,08:49:57
Lottery Ticket Purchase,Other,7RMG15UQ7G,22-03-2024,09:14:50
Smart Thermostat Purchase,Other,SQZK20LN24,13-12-2024,19:12:37
Security Camera Installation,Daily & Household Expenses,9L1L3ID2ZC,03-07-2024,23:54:48
House Deep Cleaning Service,Daily & Household Expenses,UCV6HKSDQK,10-04-2024,16:12:10
Window Cleaning Service,Daily & Household Expenses,VKEXTLTMTI,01-01-2025,14:25:07
Home Renovation Consultation,Daily & Household Expenses,SWN6TL8LPH,10-10-2024,06:04:16
Chauffeur Service,Other,2JK5QCTO0O,28-11-2024,12:47:14
Speeding Ticket Payment,Transportation & Travel,0FQ5TLSOZU,02-03-2024,15:53:50
Carpool Subscription,Transportation & Travel,EY919V1BTU,25-02-2024,18:15:57
International Driving Permit,Transportation & Travel,JMFSFQQUBB,03-10-2024,02:31:33
Bike Rental Membership,Transportation & Travel,WT6QQV58KR,13-06-2024,22:52:48
Escape Room Membership,Other,Z81C4XLAHG,26-01-2025,09:18:56
Yacht Rental,Transportation & Travel,N0JW7LYU5X,25-08-2024,15:24:05
Horse Riding Lesson,Other,0XSYM23U4G,24-07-2024,04:35:25
Drone Racing Entry Fee,Other,IL60PE4SDP,17-01-2025,19:36:26
Music Band Equipment Purchase,Other,LPEFBHHK33,06-03-2024,01:17:43
Career Coaching,Transportation & Travel,LT28O0IXB0,19-04-2024,03:48:47
Patent Filing Fee,Other,9VPYU1EE55,28-11-2024,14:50:46
Trademark Registration,Other,YEXWTJRW3J,26-10-2024,11:18:15
Office Party Catering,Other,IH2F4G7FBF,20-11-2024,13:49:02
Virtual Assistant Subscription,Other,59TV65CLOU,02-07-2024,23:34:47
3D Printing Course,Education & Learning,56VRJA46H8,08-04-2024,14:07:17
Aviation Training,Education & Learning,UGGRU41S40,27-10-2024,15:36:06
Robotics Workshop,Education & Learning,IVUY5NYNY7,24-07-2024,07:49:56
SAT/GMAT/GRE Test Registration,Education & Learning,C00U6BPVO9,18-01-2025,01:12:24
Online Tutoring Platform Subscription,Education & Learning,F5L8UV5PC5,15-09-2024,03:53:05
Real Estate Crowdfunding Contribution,Other,3TCIRKBWUU,18-09-2024,19:14:45
Private Equity Investment,Financial & Legal Transactions,FU9RCP9R4T,15-05-2024,15:50:12
Cryptocurrency Mining Equipment,Financial & Legal Transactions,RLWS8NBQMB,06-11-2024,14:56:30
DeFi Lending Fee,Financial & Legal Transactions,T6GX9HROLR,04-01-2025,17:51:30
Credit Score Monitoring Subscription,Other,IE73GYK9I3,05-08-2024,00:50:56
Underground Pipe Repair,Daily & Household Expenses,BWMYQSUPZV,17-07-2024,22:33:09
Solar Panel Maintenance,Daily & Household Expenses,QTKADM5CXB,02-08-2024,23:18:16
Driveway Paving,Other,UPBSF77K5V,14-09-2024,23:28:29
Gutter Cleaning,Daily & Household Expenses,LNLPX1X1KV,22-05-2024,17:12:32
Fireplace Inspection,Other,WOGUMGUFYQ,17-01-2025,06:51:44
Genetic Testing Kit,Other,88XK8MEEEH,25-08-2024,11:13:19
Medical Tourism Expenses,Health & Wellness,PK997X9UHN,15-03-2024,11:22:11
Cancer Screening,Health & Wellness,ILT7SRAS5U,06-05-2024,17:46:56
Homeopathy Treatment,Health & Wellness,EBD05LWCIY,11-08-2024,12:38:54
Fertility Treatment,Health & Wellness,746F2C7BQC,22-05-2024,08:52:57
Virtual Wardrobe Consultant,Other,J19DVOSTRN,20-04-2024,10:55:22
Custom Fragrance Creation,Other,GQ17C6D5DL,02-02-2025,15:43:32
Teeth Whitening Procedure,Health & Wellness,NBCQG84FMC,02-04-2024,03:25:02
Anti-Aging Treatment,Health & Wellness,V6CV9BXP22,24-10-2024,08:02:55
Exclusive Fashion Show Ticket,Other,FHIJIHK7WN,21-12-2024,15:27:49
Pet Obedience School,Education & Learning,AH0IPPJB0F,16-07-2024,21:38:03
Exotic Pet Purchase,Other,BMD1L4XQX5,01-03-2024,20:40:04
Fish Pond Setup,Other,CJA2KPZXYF,17-07-2024,05:25:29
Pet Nutritionist Consultation,Health & Wellness,HQLL77QCLO,23-05-2024,01:59:49
Pet Funeral Service,Other,XDABT6DNLI,14-11-2024,16:49:38
VIP Membership for Online Stores,Other,8FOAX93LEB,14-12-2024,11:06:45
"Digital Asset Purchase (eBooks, NFTs, Virtual Land)",Education & Learning,099OD6BCJH,01-02-2025,02:51:53
Antique Collection Purchase,Other,Z7LYA8PMVF,07-03-2024,12:19:46
Space Tourism Deposit,Other,QP36AO0H1C,17-09-2024,22:26:43
Private Island Rental,Daily & Household Expenses,WZR8GRD69S,02-06-2024,04:21:19
Teeth Whitening Proce dure,Health & Wellness,FVP53PHY30,13-05-2024,19:09:16
Solar Energy Installation,Daily & Household Expenses,05MFC6SDN1,04-12-2024,15:12:50
Home Theater System Setup,Daily & Household Expenses,RD8S5FRAH8,25-10-2024,01:59:57
Fireplace Chimney Repair,Daily & Household Expenses,HE4DUCDCZ3,09-06-2024,00:15:36
Custom Wallpaper Installation,Daily & Household Expenses,G3NQHCYUG7,23-01-2025,02:53:20
Outdoor Landscape Lighting,Daily & Household Expenses,R6Z54N9V28,12-10-2024,22:27:39
Luxury Car Rental,Daily & Household Expenses,794UQA6BW7,29-03-2024,03:51:27
Private Jet Charter,Other,FAP73ZWPDH,13-01-2025,13:09:05
Hot Air Balloon Ride,Transportation & Travel,DTVEWWJH8P,04-08-2024,01:51:24
Bullet Train Ticket,Transportation & Travel,R96R30XLC6,22-09-2024,20:01:40
Vehicle Carbon Offset Payment,Transportation & Travel,KQJK7CVI32,03-07-2024,23:00:50
Celebrity Meet & Greet Event,Entertainment & Leisure,3FLKLB9ZOE,25-05-2024,09:10:06
Private Movie Screening,Entertainment & Leisure,QGJMSC87G1,18-12-2024,00:03:21
Esports Tournament Entry Fee,Entertainment & Leisure,629DKC6BNU,02-02-2025,18:02:20
Virtual Reality Arcade,Entertainment & Leisure,QATRIDN71P,11-06-2024,22:57:04
Historical Reenactment Event,Entertainment & Leisure,QFO2H1OHHR,02-07-2024,08:04:28
AI-powered Resume Builder Subscription,Other,XSBPSO9S9S,19-06-2024,22:48:16
Co-working Space Membership,Other,XGD9PFBC55,14-02-2024,03:08:06
Ghostwriting Services,Other,ZMBT2DPW4J,25-09-2024,02:53:41
Business Name Registration Fee,Transportation & Travel,W1D2UTE6NO,12-01-2025,06:31:56
Corporate Team-Building Retreat,Other,R8KZ88Q7MA,29-01-2025,22:47:43
Private Tutoring Session,Education & Learning,MR3KCPWUYJ,13-12-2024,05:59:49
Speed Reading Course,Education & Learning,NDNZW05TL5,28-10-2024,17:32:09
Artificial Intelligence Bootcamp,Financial & Legal Transactions,CYCQ1SBJKU,23-07-2024,09:53:15
Academic Journal Subscription,Financial & Legal Transactions,85RT4MKW5E,10-04-2024,21:32:38
Stock Market Trading Fee,Financial & Legal Transactions,5OXH2F05SD,04-04-2024,16:21:40
Blockchain Smart Contract Audit,Financial & Legal Transactions,NHV4JPOZLV,03-01-2025,10:03:30
Hedge Fund Subscription,Financial & Legal Transactions,I2E2OE5CAZ,15-07-2024,20:27:57
Offshore Banking Account Fee,Financial & Legal Transactions,M2OPKLA1CA,02-06-2024,00:26:08
Gold Vault Storage Fee,Financial & Legal Transactions,759GAO2Q0X,16-02-2024,18:56:23
3D-Printed House Repair,Other,019X3MOUEB,08-03-2024,08:02:07
Water Well Drilling,Other,SRD4WUK9H5,30-01-2025,06:03:43
Smart Home Device Troubleshooting,Other,HRRXUUGVOO,25-10-2024,13:51:35
Underground Cable Fixing,Transportation & Travel,OK4KZITUI8,30-10-2024,14:27:38
Emergency Generator Installation,Other,N6A1B68AVC,09-08-2024,04:00:42
Cryotherapy Session,Health & Wellness,SI4BIACK3P,27-11-2024,18:58:01
IV Vitamin Therapy,Health & Wellness,SPQVVP0357,05-07-2024,02:48:01
Sleep Disorder Consultation,Health & Wellness,KDQOUI20A0,10-11-2024,02:57:28
DNA-Based Diet Plan,Health & Wellness,UTF45XZLBU,14-09-2024,01:21:54
Organ Donation Processing Fee,Health & Wellness,UE23K0XSKM,29-04-2024,20:31:01
Spa & Wellness Retreat,Health & Wellness,T0Y0TI6WEH,20-11-2024,11:15:11
Bespoke Tailoring Experience,Other,OY9MZV3NCU,22-04-2024,17:01:39
Fashion Stylist Consultation,Other,H29NRVLCEJ,09-04-2024,19:19:50
Hair Transplant Procedure,Health & Wellness,K15G8XBB6K,19-09-2024,08:59:39
Custom Handbag Crafting,Other,NJXMM9B9TZ,24-02-2024,00:07:30
Pet Yoga Class,Health & Wellness,KRN6T9HUGI,09-05-2024,11:59:47
Pet Chauffeur Service,Other,M792S4O1VA,13-06-2024,06:16:46
Animal Cloning Research Donation,Health & Wellness,R65KFAJLHJ,20-06-2024,23:16:04
Pet DNA Ancestry Test,Health & Wellness,KU3BY5BT3B,22-09-2024,11:22:20
Exotic Animal License Fee,Other,J9DU2B4LVK,03-03-2024,08:55:34
Private Detective Hiring,Other,JPJDEYBPWF,15-05-2024,18:29:08
Luxury Auction House Membership,Other,J2HC4F8QAG,09-02-2024,09:48:11
SpaceX Ticket Deposit,Other,GING4M7HWL,16-06-2024,15:14:16
Smart City Infrastructure Contribution,Other,31JAQWD3WQ,19-02-2024,17:55:12
Futuristic Tech Prototype Purchase,Other,TV7TFKZPJD,22-11-2024,02:37:44
